,date,value
464,2017-04-10,681
465,2017-04-11,679
466,2017-04-12,656
467,2017-04-13,656
468,2017-04-14,570
469,2017-04-15,452
470,2017-04-16,593
471,2017-04-17,613
472,2017-04-18,546
473,2017-04-19,563
474,2017-04-20,587
475,2017-04-21,491
476,2017-04-22,412
477,2017-04-23,566
478,2017-04-24,638
479,2017-04-25,696
480,2017-04-26,772
481,2017-04-27,709
482,2017-04-28,488
483,2017-04-29,403
484,2017-04-30,565
485,2017-05-01,511
486,2017-05-02,476
487,2017-05-03,499
488,2017-05-04,422
489,2017-05-05,380
490,2017-05-06,328
491,2017-05-07,431
492,2017-05-08,523
493,2017-05-09,483
494,2017-05-10,476
495,2017-05-11,448
496,2017-05-12,383
497,2017-05-13,349
498,2017-05-14,424
499,2017-05-15,447
500,2017-05-16,408
501,2017-05-17,387
502,2017-05-18,365
503,2017-05-19,302
504,2017-05-20,305
505,2017-05-21,336
506,2017-05-22,424
507,2017-05-23,453
508,2017-05-24,525
509,2017-05-25,545
510,2017-05-26,347
511,2017-05-27,258
512,2017-05-28,282
513,2017-05-29,274
514,2017-05-30,337
515,2017-05-31,487
516,2017-06-01,385
517,2017-06-02,414
518,2017-06-03,328
519,2017-06-04,340
520,2017-06-05,457
521,2017-06-06,490
522,2017-06-07,545
523,2017-06-08,502
524,2017-06-09,383
525,2017-06-10,309
526,2017-06-11,334
527,2017-06-12,434
528,2017-06-13,404
529,2017-06-14,474
530,2017-06-15,406
531,2017-06-16,389
532,2017-06-17,285
533,2017-06-18,300
534,2017-06-19,456
535,2017-06-20,408
536,2017-06-21,392
537,2017-06-22,355
538,2017-06-23,300
539,2017-06-24,281
540,2017-06-25,245
541,2017-06-26,392
542,2017-06-27,345
543,2017-06-28,328
544,2017-06-29,326
545,2017-06-30,305
546,2017-07-01,232
547,2017-07-02,270
548,2017-07-03,405
549,2017-07-04,344
550,2017-07-05,295
551,2017-07-06,258
552,2017-07-07,285
553,2017-07-08,215
554,2017-07-09,247
555,2017-07-10,331
556,2017-07-11,313
557,2017-07-12,319
558,2017-07-13,296
559,2017-07-14,262
560,2017-07-15,206
561,2017-07-16,247
562,2017-07-17,350
563,2017-07-18,321
564,2017-07-19,306
565,2017-07-20,318
566,2017-07-21,293
567,2017-07-22,232
568,2017-07-23,265
569,2017-07-24,336
570,2017-07-25,294
571,2017-07-26,267
572,2017-07-27,281
573,2017-07-28,259
574,2017-07-29,204
575,2017-07-30,267
576,2017-07-31,304
577,2017-08-01,286
578,2017-08-02,275
579,2017-08-03,274
580,2017-08-04,253
581,2017-08-05,168
582,2017-08-06,184
583,2017-08-07,261
584,2017-08-08,274
585,2017-08-09,259
586,2017-08-10,217
587,2017-08-11,210
588,2017-08-12,161
